,Order Date,Sales,year,month,day,dayofweek,quarter,is_month_start,is_month_end,month_sin,month_cos,day_sin,day_cos,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30
30,2014-02-02,211.64600000000002,2014,2,2,6,1,0,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,468.9,1097.25,378.594,16.448,234.6157142857143,184.27298464842104,391.7641428571429,723.0616827320905,496.6997666666667,1082.0727718390415
31,2014-02-03,97.11200000000001,2014,2,3,0,1,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,211.64600000000002,426.66999999999996,2673.87,288.06,187.536,168.44688753827558,207.71,303.97195195812145,490.33483333333334,1083.902392266213
32,2014-02-04,134.38400000000001,2014,2,4,1,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,97.11200000000001,3.928,25.248,19.536,206.17257142857144,151.0673737143514,215.50542857142858,300.3100804480679,494.1631,1082.3839791032904
33,2014-02-05,0.0,2014,2,5,2,1,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,134.38400000000001,0.0,0.0,4407.1,206.17257142857144,151.0673737143514,215.50542857142858,300.3100804480679,347.2597666666667,793.5255590706091
34,2014-02-06,330.512,2014,2,6,3,1,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.0,240.5,46.019999999999996,87.15799999999999,219.03142857142856,158.14159167325812,235.82628571428572,297.5722222777127,355.3715666666667,792.0173956148498
35,2014-02-07,180.32,2014,2,7,4,1,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,330.512,290.666,0.0,0.0,203.26771428571428,155.28478041082204,248.7062857142857,290.39553215556157,361.3822333333334,789.9088849883663
36,2014-02-08,14.56,2014,2,8,5,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,180.32,468.9,0.0,40.544,138.362,115.64385424799912,249.7462857142857,289.46088754080716,360.5161,790.2869695915722
37,2014-02-09,0.0,2014,2,9,6,1,0,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,14.56,211.64600000000002,1097.25,54.83,108.12685714285715,120.8410508994163,171.3712857142857,163.46078408946468,358.68843333333336,791.0812982011166
38,2014-02-10,0.0,2014,2,10,0,1,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,97.11200000000001,426.66999999999996,9.94,94.2537142857143,127.6963840544068,140.89485714285712,151.54077121602288,358.3571,791.2344702304439
39,2014-02-11,2043.4,2014,2,11,1,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,134.38400000000001,3.928,0.0,366.97028571428575,749.9754111484172,286.57142857142856,526.3957621693035,426.47043333333335,845.4191900029351
